, XLU , 67.9772 , 2023-04-11 00:00:00-04:00 , 68.2112 , 2023-04-24 00:00:00-04:00 ,0.233978, 0.344201,37147.5 ,96.875,64 , 9 ,
, QUAL,122.803, 2023-04-10 00:00:00-04:00 ,125.118, 2023-05-01 00:00:00-04:00 ,2.31554 , 1.88558 , 4692.85,96.6667 ,30 ,15 ,
, TMO ,574.185, 2023-04-06 00:00:00-04:00 ,589.934, 2023-04-13 00:00:00-04:00 , 15.7481, 2.74269 ,1.1546e+08,93.9655 , 116 , 4 ,
, T.TO, 26.7857 , 2023-04-05 00:00:00-04:00 , 27.5411 , 2023-04-24 00:00:00-04:00 ,0.755468, 2.82042 , 173187 ,93.75 ,80 ,12 ,
, NOC ,460.332, 2023-04-04 00:00:00-04:00 ,471.514, 2023-04-18 00:00:00-04:00 , 11.1813, 2.42896 ,1.9561e+07,90.9091 , 121 , 9 ,
, ACN ,281.493, 2023-04-03 00:00:00-04:00 ,282.035, 2023-04-13 00:00:00-04:00 ,0.54187 , 0.192499, 123789 ,95,60 , 7 ,
, LQD ,105.096, 2023-03-31 00:00:00-04:00 ,106.212, 2023-04-05 00:00:00-04:00 ,1.11568 , 1.06158 , 4114.2 ,98.1481 ,54 , 3 ,
, NIO , 10.46 , 2023-03-30 00:00:00-04:00 , 10.51 , 2023-03-31 00:00:00-04:00 ,0.0500002 , 0.478013,61876.6 , 100,13 , 1 ,
, LULU,361.04 , 2023-03-29 00:00:00-04:00 ,386.71 , 2023-05-05 00:00:00-04:00 , 25.67, 7.11001 , 709066 ,97.5,40 ,26 ,
, ABX.TO, 24.9463 , 2023-03-28 00:00:00-04:00 , 27.1053 , 2023-05-04 00:00:00-04:00 ,2.159 , 8.6546,1.21712e+06 ,93.5065 ,77 ,26 ,
, EA,117.954, 2023-03-27 00:00:00-04:00 ,128.751, 2023-04-25 00:00:00-04:00 , 10.7972, 9.15374 ,5.32308e+07 ,93.5484 ,93 ,20 ,
, MDLZ, 67.4869 , 2023-03-24 00:00:00-04:00 , 77.0187 , 2023-05-11 00:00:00-04:00 ,9.53172 ,14.1238,42044.6 ,95.2381 ,63 ,33 ,
, GLD ,185.74 , 2023-03-23 00:00:00-04:00 ,190.44 , 2023-05-04 00:00:00-04:00 ,4.7 , 2.53042 ,29393.5 ,93.8776 ,49 ,29 ,
, TLT ,102.692, 2023-03-22 00:00:00-04:00 ,105.013, 2023-04-06 00:00:00-04:00 ,2.32134 , 2.2605,14201.1 ,96,50 ,11 ,
, GOOGL ,104.92 , 2023-03-21 00:00:00-04:00 ,127.31 , 2023-06-06 00:00:00-04:00 , 22.39,21.3401, 395239 ,97.9167 ,48 ,53 ,
, SO, 65.8442 , 2023-03-20 00:00:00-04:00 , 72.6736 , 2023-05-10 00:00:00-04:00 ,6.82937 ,10.372 , 684763 ,90.2655 , 113 ,36 ,
, BEPC.TO , 42.14 , 2023-03-15 00:00:00-04:00 , 48.21 , 2023-05-15 00:00:00-04:00 ,6.07,14.4044, 2462.19, 100, 7 ,42 ,
, DXCM,121.24 , 2023-03-02 00:00:00-05:00 ,122.92 , 2023-03-03 00:00:00-05:00 ,1.68, 1.38568 ,3.28907e+06 ,98.1818 ,55 , 1 ,
, LMT ,463.036, 2023-02-23 00:00:00-05:00 ,467.011, 2023-03-06 00:00:00-05:00 ,3.97546 , 0.858565,2.75123e+08 ,95.9677 , 124 , 7 ,
, SMCI, 91.98 , 2023-02-17 00:00:00-05:00 ,115.88 , 2023-04-18 00:00:00-04:00 , 23.9 ,25.9839, 779311 ,92.6829 ,41 ,40 ,
, MO, 43.6665 , 2023-02-15 00:00:00-05:00 , 44.0514 , 2023-02-17 00:00:00-05:00 ,0.384895, 0.881442,3.53381e+09 ,91.4474 , 152 , 2 ,
, ITW ,231.555, 2023-02-08 00:00:00-05:00 ,235.076, 2023-02-17 00:00:00-05:00 ,3.52113 , 1.52065 ,7.18923e+07 ,92.4658 , 146 , 7 ,
, HSIC, 87.14 , 2023-02-07 00:00:00-05:00 , 88.98 , 2023-02-14 00:00:00-05:00 ,1.84, 2.11155 , 923145 ,94.5205 ,73 , 5 ,
, ANET,131.96 , 2023-02-03 00:00:00-05:00 ,169.39 , 2023-03-23 00:00:00-04:00 , 37.43,28.3646,32871.7 ,96.1538 ,26 ,33 ,
, KRE , 62.4874 , 2023-02-02 00:00:00-05:00 , 62.5937 , 2023-02-07 00:00:00-05:00 ,0.106277, 0.170078,20662.2 ,95.8333 ,48 , 3 ,
, CRWD,110.5, 2023-02-01 00:00:00-05:00 ,137.37 , 2023-04-17 00:00:00-04:00 , 26.87,24.3167, 8827.79, 100,11 ,51 ,
, IMO.TO, 70.2501 , 2023-01-31 00:00:00-05:00 , 61.203, 2023-03-15 00:00:00-04:00 , -9.04703 , -12.8783, 618057 ,92.9412 ,85 , 8 ,
, TD.TO , 88.2287 , 2023-01-27 00:00:00-05:00 , 90.294, 2023-02-13 00:00:00-05:00 ,2.0653, 2.34085 , 127408 ,91.1392 ,79 ,11 ,
, SNOW,152.45 , 2023-01-26 00:00:00-05:00 ,178.05 , 2023-02-02 00:00:00-05:00 , 25.6 ,16.7924, 2957.6 , 100, 5 , 5 ,
, HLT ,141.597, 2023-01-25 00:00:00-05:00 ,152.038, 2023-02-15 00:00:00-05:00 , 10.4404, 7.3733, 9210.19,96.1538 ,26 ,15 ,
, QUAL,118.688, 2023-01-24 00:00:00-05:00 ,124.499, 2023-02-02 00:00:00-05:00 ,5.8106, 4.89569 , 4606 ,96.5517 ,29 , 7 ,
, BIPC.TO , 60.55 , 2023-01-23 00:00:00-05:00 , 62.65 , 2023-04-03 00:00:00-04:00 ,2.1 , 3.46821 , 2209.99, 100, 9 ,49 ,
, CM.TO , 54.7876 , 2023-01-20 00:00:00-05:00 , 59.3407 , 2023-03-03 00:00:00-05:00 ,4.55309 , 8.31045 , 318050 ,97.3684 ,76 ,29 ,
, GOOGL , 93.05 , 2023-01-19 00:00:00-05:00 ,107.74 , 2023-02-02 00:00:00-05:00 , 14.69,15.7872, 325728 ,97.8723 ,47 ,10 ,
